Clock: 33.607242243, Future Event List: [(Departure, 33.699859316), (Arrival, 34.082820685), ], Number of Departures: 58, Queue Size: 7, Server Utilization: 1.982899977
Clock: 33.699859316, Future Event List: [(Arrival, 34.082820685), (Departure, 34.659000657), ], Number of Departures: 59, Queue Size: 6, Server Utilization: 1.977450388
Clock: 34.082820685, Future Event List: [(Departure, 34.659000657), (Arrival, 34.753842703), ], Number of Departures: 59, Queue Size: 7, Server Utilization: 1.955231361
Clock: 34.659000657, Future Event List: [(Arrival, 34.753842703), (Departure, 35.40924595), ], Number of Departures: 60, Queue Size: 6, Server Utilization: 1.922727101
Clock: 34.753842703, Future Event List: [(Departure, 35.40924595), (Arrival, 35.7134879), ], Number of Departures: 60, Queue Size: 7, Server Utilization: 1.917480045
Clock: 35.40924595, Future Event List: [(Arrival, 35.7134879), (Departure, 36.390243064), ], Number of Departures: 61, Queue Size: 6, Server Utilization: 1.881988675
Clock: 35.7134879, Future Event List: [(Arrival, 35.802572166), (Departure, 36.390243064), ], Number of Departures: 61, Queue Size: 7, Server Utilization: 1.86595608
Clock: 35.802572166, Future Event List: [(Departure, 36.390243064), (Arrival, 36.600314626), ], Number of Departures: 61, Queue Size: 8, Server Utilization: 1.861313192
Clock: 36.390243064, Future Event List: [(Arrival, 36.600314626), (Departure, 36.62375887), ], Number of Departures: 62, Queue Size: 7, Server Utilization: 1.831254596
Clock: 36.600314626, Future Event List: [(Departure, 36.62375887), (Arrival, 37.191090372), ], Number of Departures: 62, Queue Size: 8, Server Utilization: 1.820743908
Clock: 36.62375887, Future Event List: [(Departure, 36.719985631), (Arrival, 37.191090372), ], Number of Departures: 63, Queue Size: 7, Server Utilization: 1.819578381
Clock: 36.719985631, Future Event List: [(Departure, 37.10456783), (Arrival, 37.191090372), ], Number of Departures: 64, Queue Size: 6, Server Utilization: 1.814810075
Clock: 37.10456783, Future Event List: [(Arrival, 37.191090372), (Departure, 37.604840381), ], Number of Departures: 65, Queue Size: 5, Server Utilization: 1.795999894
Clock: 37.191090372, Future Event List: [(Departure, 37.604840381), (Arrival, 38.103287126), ], Number of Departures: 65, Queue Size: 6, Server Utilization: 1.791821622
Clock: 37.604840381, Future Event List: [(Arrival, 38.103287126), (Departure, 38.17509625), ], Number of Departures: 66, Queue Size: 5, Server Utilization: 1.772106973
Clock: 38.103287126, Future Event List: [(Departure, 38.17509625), (Arrival, 38.204416445), ], Number of Departures: 66, Queue Size: 6, Server Utilization: 1.748925221
Clock: 38.17509625, Future Event List: [(Arrival, 38.204416445), (Departure, 39.151727847), ], Number of Departures: 67, Queue Size: 5, Server Utilization: 1.745635412
Clock: 38.204416445, Future Event List: [(Arrival, 38.497711088), (Departure, 39.151727847), ], Number of Departures: 67, Queue Size: 6, Server Utilization: 1.744295714
